playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
brighje01,2019,1,MIA,NL,P,32,0,115,0,3,0,0,,,,,
brinsle01,2019,1,MIA,NL,OF,70,64,1670,157,5,5,2,,,,,
britoso01,2019,1,TOR,AL,OF,17,11,305,26,0,2,0,,,,,
brittza01,2019,1,NYA,AL,P,66,0,184,1,10,0,0,,,,,
brookaa01,2019,1,OAK,AL,P,15,6,151,3,4,0,2,,,,,
brookaa01,2019,2,BAL,AL,P,14,12,179,4,4,1,0,,,,,
brossmi01,2019,1,TBA,AL,1B,1,0,9,1,0,0,0,,,,,
brossmi01,2019,1,TBA,AL,2B,26,21,495,25,39,0,8,,,,,
brossmi01,2019,1,TBA,AL,3B,18,11,333,12,18,1,2,,,,,
brossmi01,2019,1,TBA,AL,OF,11,0,99,7,0,0,0,,,,,
brossmi01,2019,1,TBA,AL,P,3,0,12,0,1,0,0,,,,,
brownse01,2019,1,OAK,AL,1B,4,1,54,21,2,0,4,,,,,
brownse01,2019,1,OAK,AL,OF,23,16,459,23,2,0,0,,,,,
broxtke01,2019,1,BAL,AL,OF,36,29,799,104,0,2,0,,,,,
broxtke01,2019,2,SEA,AL,OF,25,17,454,36,1,1,0,,,,,
broxtke01,2019,3,NYN,NL,OF,28,10,333,37,0,0,0,,,,,
bruceja01,2019,1,SEA,AL,1B,16,15,357,101,8,2,11,,,,,
bruceja01,2019,1,SEA,AL,OF,28,26,688,50,4,2,1,,,,,
bruceja01,2019,2,PHI,NL,OF,31,30,755,55,4,0,1,,,,,
bryankr01,2019,1,CHN,NL,1B,3,3,81,21,1,0,1,,,,,
bryankr01,2019,1,CHN,NL,3B,115,110,2818,48,186,13,15,,,,,
bryankr01,2019,1,CHN,NL,OF,44,29,821,50,1,2,0,,,,,
buchhcl01,2019,1,TOR,AL,P,12,12,177,7,16,0,2,,,,,
buchtry01,2019,1,OAK,AL,P,64,0,136,3,6,1,0,,,,,
buehlwa01,2019,1,LAN,NL,P,30,30,547,11,17,0,1,,,,,
bumgama01,2019,1,SFN,NL,P,34,34,623,2,19,1,1,,,,,
bummeaa01,2019,1,CHA,AL,P,58,0,203,4,12,1,1,,,,,
bundydy01,2019,1,BAL,AL,P,30,30,485,10,8,0,1,,,,,
burdini01,2019,1,PIT,NL,P,11,0,26,0,0,0,0,,,,,
burkebr01,2019,1,TEX,AL,P,6,6,80,0,5,0,0,,,,,
burneco01,2019,1,MIL,NL,P,32,4,147,2,10,2,0,,,,,
burrry01,2019,1,CHA,AL,P,16,1,59,1,3,0,0,,,,,
buterdr01,2019,1,COL,NL,1B,3,0,25,7,1,0,0,,,,,
buterdr01,2019,1,COL,NL,C,14,13,329,99,6,0,0,0,,4,2,
buttrty01,2019,1,LAA,AL,P,72,0,217,4,5,0,1,,,,,
buxtoby01,2019,1,MIN,AL,OF,86,78,2076,217,5,2,2,,,,,
cabreas01,2019,1,TEX,AL,3B,93,90,2379,66,173,7,25,,,,,
cabreas01,2019,2,WAS,NL,1B,3,2,72,19,2,0,2,,,,,
cabreas01,2019,2,WAS,NL,2B,31,29,744,32,59,0,13,,,,,
cabreas01,2019,2,WAS,NL,3B,5,1,57,0,1,0,0,,,,,
cabrege01,2019,1,SLN,NL,P,13,2,61,0,3,0,0,,,,,
cabreme01,2019,1,PIT,NL,OF,97,80,2048,113,5,1,1,,,,,
cabremi01,2019,1,DET,AL,1B,26,26,657,204,5,1,13,,,,,
cahiltr01,2019,1,LAA,AL,P,37,11,307,9,9,1,0,,,,,
cainlo01,2019,1,MIL,NL,OF,143,134,3532,306,5,2,1,,,,,
calhoko01,2019,1,LAA,AL,OF,150,146,3920,312,7,6,2,,,,,
calhowi01,2019,1,TEX,AL,OF,71,69,1830,113,2,1,0,,,,,
camarjo01,2019,1,ATL,NL,1B,1,0,3,0,0,0,0,,,,,
camarjo01,2019,1,ATL,NL,2B,4,3,77,10,9,1,3,,,,,
camarjo01,2019,1,ATL,NL,3B,18,9,311,7,18,4,0,,,,,
camarjo01,2019,1,ATL,NL,OF,16,13,341,26,0,1,0,,,,,
camarjo01,2019,1,ATL,NL,SS,25,21,578,27,63,1,14,,,,,
candeje01,2019,1,DET,AL,1B,20,18,494,136,11,1,16,,,,,
candeje01,2019,1,DET,AL,3B,69,68,1830,44,133,6,19,,,,,
canhama01,2019,1,OAK,AL,1B,15,11,291,81,4,0,6,,,,,
canhama01,2019,1,OAK,AL,OF,90,88,2331,199,1,2,0,,,,,
cannigr01,2019,1,LAA,AL,P,18,17,271,9,12,2,0,,,,,
canoro01,2019,1,NYN,NL,2B,99,98,2413,164,189,5,51,,,,,
carasma01,2019,1,SEA,AL,P,11,5,29,0,1,0,0,,,,,
caratvi01,2019,1,CHN,NL,1B,23,11,387,97,7,1,10,,,,,
caratvi01,2019,1,CHN,NL,3B,2,0,7,0,1,0,0,,,,,
caratvi01,2019,1,CHN,NL,C,59,48,1278,460,22,2,1,3,,29,6,
caratvi01,2019,1,CHN,NL,P,2,0,6,1,1,0,0,,,,,
carlesh01,2019,1,ATL,NL,P,6,0,28,1,0,0,0,,,,,
carpeda01,2019,1,TEX,AL,P,4,0,10,1,0,0,0,,,,,
carpema01,2019,1,SLN,NL,1B,4,2,58,14,0,0,1,,,,,
carpema01,2019,1,SLN,NL,3B,107,102,2641,55,162,8,16,,,,,
carpery01,2019,1,DET,AL,P,9,9,122,1,4,1,0,,,,,
carraca01,2019,1,CLE,AL,P,23,12,240,5,6,0,0,,,,,
casalcu01,2019,1,CIN,NL,1B,4,0,18,3,1,0,0,,,,,
casalcu01,2019,1,CIN,NL,C,67,57,1513,572,31,3,4,3,,34,11,
cashnan01,2019,1,BAL,AL,P,17,17,289,8,8,0,0,,,,,
cashnan01,2019,2,BOS,AL,P,25,6,161,2,9,0,1,,,,,
casteni01,2019,1,DET,AL,OF,89,89,2352,200,3,2,0,,,,,
casteni01,2019,2,CHN,NL,OF,51,51,1268,89,3,0,1,,,,,
castidi01,2019,1,TBA,AL,P,65,6,206,2,6,1,0,,,,,
castijo03,2019,1,SDN,NL,P,1,0,2,0,0,0,0,,,,,
castilu02,2019,1,CIN,NL,P,32,32,572,17,30,1,1,,,,,
castiwe01,2019,1,CHA,AL,C,48,46,1185,354,19,4,4,9,,30,7,
castiwi01,2019,1,MIA,NL,C,2,2,54,20,0,0,0,0,,0,0,
castrha01,2019,1,DET,AL,1B,1,1,27,9,0,0,1,,,,,
castrha01,2019,1,DET,AL,2B,34,33,889,58,73,5,14,,,,,
castrha01,2019,1,DET,AL,3B,10,9,233,5,19,1,1,,,,,
castrha01,2019,1,DET,AL,OF,44,42,1126,94,3,1,1,,,,,
castrha01,2019,1,DET,AL,SS,2,2,51,7,6,0,2,,,,,
castrja01,2019,1,MIN,AL,C,78,72,1894,637,29,1,2,7,,29,7,
castrmi01,2019,1,BAL,AL,P,65,0,220,7,10,1,1,,,,,
castrst01,2019,1,MIA,NL,2B,117,115,3038,177,249,9,63,,,,,
castrst01,2019,1,MIA,NL,3B,45,42,1100,27,76,4,8,,,,,
castrst01,2019,1,MIA,NL,SS,3,2,54,2,3,0,0,,,,,
castrwi01,2019,1,DET,AL,SS,29,28,759,36,67,4,17,,,,,
caveja01,2019,1,MIN,AL,OF,68,54,1510,125,3,3,1,,,,,
ceasedy01,2019,1,CHA,AL,P,14,14,219,8,6,1,2,,,,,
